url,year,country,crew,crewFatalities,passengers,passengerFatalities,totalFatalities
http://www.baaa-acro.com/1920/archives/crash-of-a-handley-page-o7-in-south-africa/,1920,Egypt,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-junkers-divers-in-morristown-2-killed/,1920,USA,2,2,NaN,0,2
http://www.baaa-acro.com/1920/archives/crash-of-a-junkers-f-13-in-dessau-1-killed/,1920,Germany,1,1,NaN,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-junkers-f-13-in-dessau-4-killed/,1920,Germany,4,4,NaN,0,4
http://www.baaa-acro.com/1920/archives/crash-of-a-junkers-f-13-in-ohio-2-killed/,1920,USA,2,2,NaN,0,2
http://www.baaa-acro.com/1920/archives/crash-of-a-junkers-larsen-jl-6-in-roosevelt-field/,1920,USA,1,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-junkers-larsen-jl-6-in-wisconsin-3-killed/,1920,USA,1,1,2,2,3
http://www.baaa-acro.com/1920/archives/crash-of-a-latecoere-in-motril/,1920,Spain,1,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-nieuport-delage-nid-30-in-manche/,1920,World,1,1,NaN,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-savoia-fba-in-zurich/,1920,Switzerland,2,2,NaN,0,2
http://www.baaa-acro.com/1920/archives/crash-of-a-savoia-s-13-off-zurichhorn-1-killed/,1920,Switzerland,1,1,NaN,0,1
http://www.baaa-acro.com/1920/archives/crash-of-a-savoia-s-9-in-gliems-glacier-2-killed/,1920,Switzerland,2,2,NaN,0,2
http://www.baaa-acro.com/1920/archives/crash-of-a-savoia-s-9-off-zollikon-4-killed/,1920,Switzerland,2,2,NaN,0,2
http://www.baaa-acro.com/1920/archives/crash-of-a-supermarine-channel-iii-in-horten/,1920,Norway,1,0,2,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-supermarine-channel-iii-in-stavanger/,1920,Norway,1,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-vickers-vimy-in-bulawayo/,1920,Zimbabwe,2,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-vickers-vimy-in-tabora/,1920,Tanganyika,4,0,1,0,0
http://www.baaa-acro.com/1920/archives/crash-of-a-vickers-vimy-in-wadi-halfa/,1920,Sudan,2,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-armstrong-whitworth-fk-8-in-bedford-uk-1-killed/,1920,UK,1,1,NaN,0,1
http://www.baaa-acro.com/1920/archives/crash-of-an-armstrong-whitworth-fk-8-in-orebro/,1920,Sweden,2,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-bournemouth-2-killed/,1920,UK,1,1,2,1,2
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-bristol-uk/,1920,UK,2,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-france/,1920,France,1,0,2,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-manche/,1920,UK,NaN,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-new-plymouth-3-killed/,1920,New Zealand,1,1,2,2,3
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-peterborough-uk/,1920,UK,1,0,2,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-scarborough/,1920,UK,1,0,2,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-united-kingdom-15/,1920,UK,1,0,1,1,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-united-kingdom-18/,1920,UK,1,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-united-kingdom-21/,1920,UK,1,0,NaN,0,0
http://www.baaa-acro.com/1920/archives/crash-of-an-avro-504-in-united-kingdom-41/,1920,UK,NaN,0,NaN,0,0
